description,Accountant,Advocate,Agricultural,Apparel,Architects,Arts,Automobile,Aviation,BPO,Banking,Building & Construction,Business Development,Consultant,Designing,Digital Media,Education,Engineering,Finance,Food & Beverages,HR,Health & Fitness,Information Technology,Managment,Public Relations,Sales
"An experienced HR professional,  HR mentor and Coach , Talent advisory and HR strategist... see more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Head Talent Acquisition, HR Leader and Strategic Partner to Business and leadership team in areas of people, processand structure,  worked with some of the best IT Services and Product Organizations.... see more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"A Talent Acquisition and HR professional with experience in  Social Media Strategy, Talent Management and Recruitmentin IT, Research & Analytics space. Equipped with the unique combination of strong inter-personnel skills and the abilityto work in diverse, multicultural work environments...
            see more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Over 18 Years of experience in IT /ITES  / BPO with leading global OrganizationsHave a passion for working on great products, enthusiastic about #UserExperience #SaaS #HRTech #Bots #Io...
            see more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Human Resources Business Partner with a demonstrated history of working in the information technology and servicesindustry with experience across HR Partnering with business verticals & providing integrated Human Resources servicesand solutions, leading a delivery center and Culture Integration during M&A... see more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"A seasoned HR professional and an experienced Banker with 20+ years of demonstrated history & various experienceswithin Banking Industry. Skilled in Strategic HR, Relationship Management, Communication, Team Management &Business Development. Currently functioning as Senior Vice President and Head for Talent Management, Perf...
            see more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"I have been working as an HR practitioner for the past 15+ years to attract, engage and retain talent. I have hands onexperience in the domain of HR Business Partnering, HR Technology, HR Shared Services, Talent Management & HRAnalytics....
            see more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Passionate in developing People and building Competency in the Organization. Believe in each individual's innatequalities and strives to make them successful by providing right atmosphere and support. Ensures that the individual hasan enriching experience and a meaningful career, aligned to the Organization's business needs....
            see more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Performance driven and accomplished professional with close to 15 years of experience in Corporate HR and HRBP role.Highly diverse experience in Recruitment, OD, PMS, L&D, Job analysis and evaluation,HR Audit & Analytics, C...
            see more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
